carat,cut,color,clarity,depth,table,price,x,y,z,price_inr,volume,price_per_carat,dimension_ratio,carat_category,cluster
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,34170.0,39.693808,1747.8260869565217,1.6735537190082643,Light,0
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,34170.0,38.525674,1747.8260869565217,1.6487603305785126,Light,0
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,34170.0,39.07343999999999,1747.8260869565217,1.6812500000000001,Light,0
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,34170.0,37.876608,1747.8260869565217,1.6147540983606556,Light,0
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,34170.0,39.258576,1747.8260869565217,1.7172995780590719,Light,0
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,34170.0,36.27393,1747.8260869565217,1.5609756097560976,Light,0
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,34170.0,50.847224999999995,1296.774193548387,1.5636363636363635,Light,0
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,34255.0,43.295616,1550.0,1.6448412698412698,Light,0
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,34255.0,56.294722,1221.2121212121212,1.6187050359712232,Light,0
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,34255.0,55.563750000000006,1221.2121212121212,1.6345454545454545,Light,0
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,34255.0,56.385419999999996,1221.2121212121212,1.6376811594202898,Light,0
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,34255.0,41.863878,1550.0,1.5344827586206897,Light,0
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,34255.0,43.703376000000006,1550.0,1.7134146341463414,Light,0
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,34255.0,52.155950000000004,1259.375,1.5836363636363637,Light,0
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,34255.0,47.865359999999995,1389.6551724137933,1.6037735849056605,Light,0
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,34255.0,52.105169999999994,1259.375,1.618081180811808,Light,0
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,34255.0,53.280072000000004,1259.375,1.5663082437275986,Light,0
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,34340.0,40.9448,1616.0,1.5807086614173231,Light,0
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,34340.0,49.954344000000006,1393.103448275862,1.6477272727272725,Light,0
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,34340.0,39.691469999999995,1683.3333333333335,1.6428571428571428,Light,0
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,34340.0,37.877340000000004,1756.5217391304348,1.6147540983606559,Light,0
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,34340.0,54.225920000000016,1262.5,1.6415441176470587,Light,0
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,34340.0,36.843357000000005,1836.3636363636363,1.6224066390041494,Light,0
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,34340.0,35.044548,1836.3636363636363,1.6861471861471862,Light,0
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,34425.0,48.967969999999994,1350.0,1.6406844106463878,Light,0
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,34425.0,50.64287399999999,1350.0,1.6877394636015324,Light,0
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,34425.0,48.5673,1350.0,1.5973782771535583,Light,0
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,34425.0,50.10681600000001,1350.0,1.5867158671586719,Light,0
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,34425.0,49.22775000000001,1350.0,1.5814814814814813,Light,0
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,46920.0,57.931307999999994,1577.1428571428573,1.6420863309352518,Light,0
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,46920.0,48.04518600000001,1840.0,1.5977443609022555,Light,0
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,46920.0,49.853232000000006,1840.0,1.600371747211896,Light,0
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,46920.0,49.898920000000004,1840.0,1.6100746268656714,Light,0
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,46920.0,68.480192,1314.2857142857142,1.6250000000000002,Light,0
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,47005.0,45.619044,1974.9999999999998,1.62984496124031,Light,0
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,47005.0,52.97237399999999,1728.125,1.6135531135531134,Light,0
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,47005.0,50.82987,1783.8709677419356,1.5805860805860805,Light,0
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,47005.0,50.362559999999995,1783.8709677419356,1.6175373134328357,Light,0
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,47005.0,39.431132,2304.166666666667,1.6475409836065573,Light,0
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,47005.0,38.906000000000006,2304.166666666667,1.626530612244898,Light,0
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,47090.0,49.45941,1846.6666666666667,1.5851851851851848,Light,0
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,47090.0,48.634496000000006,1846.6666666666667,1.58955223880597,Light,0
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,47090.0,48.680775000000004,1846.6666666666667,1.599250936329588,Light,0
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,47090.0,49.593216000000005,1846.6666666666667,1.5698529411764703,Light,0
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,47090.0,44.027682,2130.7692307692305,1.6887550200803212,Light,0
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,47090.0,44.06179500000001,2130.7692307692305,1.669322709163347,Light,0
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,47090.0,43.137024000000004,2130.7692307692305,1.6035156250000002,Light,0
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,47090.0,41.08846499999999,2130.7692307692305,1.592885375494071,Light,0
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,47090.0,42.34377,2130.7692307692305,1.5980392156862744,Light,0
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,47090.0,41.208,2130.7692307692305,1.576470588235294,Light,0
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,47090.0,42.007107999999995,2130.7692307692305,1.6106719367588935,Light,0
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,47090.0,41.455847999999996,2130.7692307692305,1.5905511811023618,Light,0
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,47090.0,62.32348500000001,1457.8947368421052,1.6236933797909407,Light,0
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,47090.0,43.94075,2130.7692307692305,1.7285714285714282,Light,0
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,47090.0,37.9358,2308.3333333333335,1.6061224489795918,Light,0
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,47090.0,38.746224,2308.3333333333335,1.6331967213114753,Light,0
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,47090.0,39.23519999999999,2308.3333333333335,1.6434426229508197,Light,0
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,47090.0,40.449288,2308.3333333333335,1.6483739837398372,Light,0
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,47090.0,51.420915,1731.25,1.5897435897435896,Light,0
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,234345.0,116.39627999999999,3938.571428571429,1.5994397759103642,Medium,0
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,234345.0,143.71632,3205.813953488372,1.8153409090909092,Medium,1
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,234345.0,113.1165,3938.571428571429,1.6242857142857143,Medium,0
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,234515.0,115.865184,3885.9154929577467,1.6025280898876404,Medium,0
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,234515.0,126.43721999999998,3537.179487179487,1.5672043010752688,Medium,0
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,234515.0,116.66069999999999,3941.4285714285716,1.738165680473373,Medium,0
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,234515.0,111.82464,3941.4285714285716,1.6867647058823527,Medium,0
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,234515.0,151.837455,2873.9583333333335,1.501228501228501,Medium,1
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,234600.0,118.728136,3780.8219178082195,1.6221910112359552,Medium,0
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,234600.0,129.571686,3450.0,1.6256830601092893,Medium,1
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,234600.0,121.7275,3680.0,1.582191780821918,Medium,0
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,234600.0,128.0208,3680.0,1.6703910614525141,Medium,0
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,234600.0,121.80869999999999,3729.7297297297296,1.6225626740947074,Medium,0
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,234600.0,121.59868499999999,3680.0,1.6211699164345406,Medium,0
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,234600.0,129.70821600000002,3450.0,1.5873655913978495,Medium,0
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,234600.0,123.58698,3680.0,1.6074380165289257,Medium,0
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,234600.0,126.48950999999998,3450.0,1.5867208672086721,Medium,1
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,234685.0,121.02055699999998,3731.0810810810813,1.60387811634349,Medium,0
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,234685.0,135.05544,3408.6419753086416,1.7013888888888888,Medium,0
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,234685.0,97.86488999999999,4679.661016949153,1.6134328358208954,Medium,0
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,234685.0,131.23919999999998,3451.25,1.6294277929155314,Medium,0
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,234685.0,122.61664,3731.0810810810813,1.6077348066298343,Medium,0
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,234685.0,145.89590400000003,3067.777777777778,1.5865633074935401,Medium,1
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,234770.0,119.72147400000001,3732.4324324324325,1.6086350974930363,Medium,0
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,234770.0,119.23128,3783.5616438356165,1.598611111111111,Medium,0
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,234770.0,120.727,3783.5616438356165,1.5953038674033149,Medium,0
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,234770.0,130.71801600000003,3452.5,1.6195652173913044,Medium,1
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,234770.0,117.95097599999998,3890.1408450704225,1.6033519553072626,Medium,0
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,234770.0,115.18675200000001,3945.714285714286,1.646131805157593,Medium,0
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,234770.0,132.060134,3452.5,1.6685082872928176,Medium,1
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,234770.0,116.06917200000001,3890.1408450704225,1.6039325842696632,Medium,0
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,234770.0,122.40668000000001,3732.4324324324325,1.606353591160221,Medium,0
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,234770.0,109.79218800000001,3945.714285714286,1.6210374639769451,Medium,0
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,234770.0,110.27151800000001,3945.714285714286,1.5502793296089388,Medium,0
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,234770.0,114.980364,3945.714285714286,1.5314207650273224,Medium,0
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,234770.0,109.27891,3945.714285714286,1.624277456647399,Medium,0
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,234855.0,134.52201,3036.263736263736,1.6297297297297295,Medium,1
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,234855.0,103.00233599999999,4529.508196721312,1.6777108433734942,Medium,0
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,234855.0,146.234907,3036.263736263736,1.5521628498727733,Medium,1
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,234855.0,142.672815,3036.263736263736,1.521518987341772,Medium,1
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,234855.0,125.636056,3588.311688311688,1.614010989010989,Medium,0
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,234940.0,115.32672,3892.9577464788736,1.5722222222222222,Medium,0
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,234940.0,114.89020399999998,3892.9577464788736,1.6161473087818699,Medium,0
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,235025.0,112.08809000000001,3950.0000000000005,1.5963172804532577,Medium,0
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,235025.0,125.23812,3590.909090909091,1.6315789473684212,Medium,0
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,235025.0,103.24331999999998,4388.888888888889,1.642433234421365,Medium,0
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,235025.0,114.59450799999999,3894.366197183099,1.6632947976878611,Medium,0
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,235025.0,115.09106100000001,3894.366197183099,1.6175637393767708,Medium,0
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,235025.0,125.45038799999999,3638.157894736842,1.6329639889196674,Medium,0
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,235110.0,105.46152400000001,4321.875,1.6166180758017492,Medium,0
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,235110.0,116.65485,3895.774647887324,1.6424501424501428,Medium,0
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,235110.0,119.77314999999997,3895.774647887324,1.6714285714285713,Medium,0
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,235195.0,114.36339199999999,3952.857142857143,1.6193181818181817,Medium,0
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,235195.0,119.161,3952.857142857143,1.667142857142857,Medium,0
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,235195.0,117.04089599999999,3897.1830985915494,1.6242937853107344,Medium,0
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,235195.0,111.13550000000001,3952.857142857143,1.6099999999999999,Medium,0
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,235280.0,109.004544,3898.5915492957747,1.580965909090909,Medium,0
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,235280.0,120.46179199999999,3791.780821917808,1.6619318181818181,Medium,0
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,235280.0,112.86266400000001,3954.2857142857147,1.6364942528735633,Medium,0
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,235280.0,115.51680000000002,3954.2857142857147,1.6414285714285715,Medium,0
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,235280.0,113.638707,3898.5915492957747,1.621082621082621,Medium,0
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,235365.0,121.755564,3741.891891891892,1.6358543417366946,Medium,0
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,235450.0,111.57168000000001,3901.4084507042257,1.5994318181818183,Medium,0
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,235450.0,119.547648,3794.5205479452056,1.627808988764045,Medium,0
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,235450.0,122.78563499999998,3644.736842105263,1.5890410958904109,Medium,0
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,235450.0,121.98458800000002,3644.736842105263,1.6035911602209945,Medium,0
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,235450.0,117.46565999999997,3901.4084507042257,1.6481481481481484,Medium,0
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,235450.0,121.28007000000001,3794.5205479452056,1.6464788732394369,Medium,0
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,235450.0,118.18837499999998,3794.5205479452056,1.6253521126760564,Medium,0
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,235450.0,123.435552,3794.5205479452056,1.6680790960451974,Medium,0
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,235450.0,121.278896,3794.5205479452056,1.6891117478510027,Medium,0
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,235535.0,118.89177299999997,3848.6111111111113,1.6581196581196582,Medium,0
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,235535.0,120.638124,3795.8904109589043,1.6215083798882681,Medium,0
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,235535.0,117.701076,3902.816901408451,1.6151685393258426,Medium,0
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,235535.0,130.060032,3507.5949367088606,1.6154891304347827,Medium,0
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,235620.0,121.55899799999999,3797.260273972603,1.6553672316384178,Medium,0
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,235620.0,133.00190099999998,3465.0,1.6403269754768393,Medium,1
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,235620.0,97.640928,4779.310344827587,1.6261261261261262,Medium,0
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,235620.0,94.45293,4779.310344827587,1.621212121212121,Medium,0
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,235620.0,117.99983999999999,3904.2253521126763,1.6878612716763006,Medium,0
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,235705.0,124.04339999999999,3697.3333333333335,1.6305555555555553,Medium,0
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,235705.0,114.678668,3961.4285714285716,1.723372781065089,Medium,0
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,235790.0,194.63451,2370.940170940171,1.6622276029055691,Medium,1
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,235790.0,98.59184,4623.333333333334,1.619402985074627,Medium,0
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,235790.0,116.71945600000001,3962.857142857143,1.594972067039106,Medium,0
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,235790.0,130.36842,3342.1686746987953,1.5474934036939314,Medium,0
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,235875.0,120.92304,3750.0,1.6302521008403363,Medium,0
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,235960.0,115.439858,3855.5555555555557,1.5664819944598338,Medium,0
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,235960.0,116.71945600000001,3909.8591549295775,1.594972067039106,Medium,0
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,235960.0,115.51629,3909.8591549295775,1.6070422535211268,Medium,0
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,235960.0,89.64269999999999,5140.74074074074,1.6234567901234567,Medium,0
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,235960.0,89.026552,5140.74074074074,1.6253869969040249,Medium,0
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,235960.0,116.7595,3855.5555555555557,1.6154929577464787,Medium,0
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,235960.0,118.953234,3855.5555555555557,1.6444759206798867,Medium,0
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,235960.0,117.53584000000001,3855.5555555555557,1.6772334293948126,Medium,0
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,235960.0,116.928,3909.8591549295775,1.6514285714285712,Medium,0
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,236045.0,115.781526,3967.1428571428573,1.5952380952380953,Medium,0
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,236045.0,114.08607,3911.267605633803,1.6104815864022666,Medium,0
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,236045.0,114.246096,3911.267605633803,1.5912921348314606,Medium,0
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,236045.0,113.589036,3911.267605633803,1.5668523676880224,Medium,0
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,236045.0,117.7522,3911.267605633803,1.7308823529411765,Medium,0
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,236045.0,114.08607,3967.1428571428573,1.6104815864022666,Medium,0
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,236045.0,111.749268,3967.1428571428573,1.6354466858789625,Medium,0
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,236045.0,115.19205,3967.1428571428573,1.6676300578034682,Medium,0
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,236045.0,113.58693600000001,3967.1428571428573,1.6346704871060171,Medium,0
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,236045.0,113.004234,3967.1428571428573,1.596045197740113,Medium,0
